===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2020-04-16 15:54:08
count workspace : /Users/ahorvath/yet-another-chrome-extension
total files : 208
total code lines : 14333
total comment lines : 1743
total blank lines : 1233

.babelrc, code is 6, comment is 3, blank is 2.
src/pages/Sidebar/index.html, code is 10, comment is 0, blank is 3.
src/pages/Sidebar/index.jsx, code is 9, comment is 0, blank is 3.
src/pages/Sidebar/Sidebar.css, code is 7, comment is 0, blank is 0.
src/pages/Sidebar/Sidebar.jsx, code is 51, comment is 3, blank is 8.
src/shared/constants.js, code is 3, comment is 0, blank is 0.
utils/build.js, code is 8, comment is 1, blank is 3.
utils/env.js, code is 4, comment is 1, blank is 0.
utils/webserver.js, code is 31, comment is 3, blank is 8.
webpack.config.js, code is 152, comment is 5, blank is 8.
===============================================================================
